title,category,ausbildung,ams_id,slug,salary_min_eur,salary_max_eur,outlook_text,outlook_trend,employment_sectors,url
MedizinoekonomIn,,,3145,3145-MedizinoekonomIn,3620,3620,,neutral,,https://www.berufslexikon.at/berufe/3145-MedizinoekonomIn/
MedizinphysikerIn,,,3146,3146-MedizinphysikerIn,3710,3710,,neutral,,https://www.berufslexikon.at/berufe/3146-MedizinphysikerIn/
Medizinproduktekaufmann/Medizinproduktekauffrau,,,3372,3372-Medizinproduktekaufmann~Medizinproduktekauffrau,2190,2190,,neutral,,https://www.berufslexikon.at/berufe/3372-Medizinproduktekaufmann~Medizinproduktekauffrau/
MedizintechnikerIn,,,3300,3300-MedizintechnikerIn,3260,3260,,neutral,,https://www.berufslexikon.at/berufe/3300-MedizintechnikerIn/
MedizintechnikerIn,,,3660,3660-MedizintechnikerIn,2510,3270,,neutral,,https://www.berufslexikon.at/berufe/3660-MedizintechnikerIn/
MeinungsforscherIn,,,2283,2283-MeinungsforscherIn,2700,2700,,neutral,,https://www.berufslexikon.at/berufe/2283-MeinungsforscherIn/
MentaltrainerIn,,,3774,3774-MentaltrainerIn,2460,2460,,neutral,,https://www.berufslexikon.at/berufe/3774-MentaltrainerIn/
MergersAcquisitions ManagerIn,,,5862,5862-MergersAcquisitions-ManagerIn,3050,3050,,neutral,,https://www.berufslexikon.at/berufe/5862-MergersAcquisitions-ManagerIn/
Mess undRegeltechnikerIn,,,1645,1645-Mess-undRegeltechnikerIn,2890,2930,,neutral,,https://www.berufslexikon.at/berufe/1645-Mess-undRegeltechnikerIn/
Messehost/Messehostess,,,3308,3308-Messehost~Messehostess,,,,neutral,,https://www.berufslexikon.at/berufe/3308-Messehost~Messehostess/
MesseorganisatorIn AusstellungsorganisatorIn,,,3147,3147-MesseorganisatorIn-AusstellungsorganisatorIn,2760,2760,,neutral,,https://www.berufslexikon.at/berufe/3147-MesseorganisatorIn-AusstellungsorganisatorIn/
MesstechnikerIn,,,2667,2667-MesstechnikerIn,3340,3340,,neutral,,https://www.berufslexikon.at/berufe/2667-MesstechnikerIn/
MetallbaukonstrukteurIn,,,1929,1929-MetallbaukonstrukteurIn,2890,3350,,neutral,,https://www.berufslexikon.at/berufe/1929-MetallbaukonstrukteurIn/
MetallbearbeiterIn,,,1636,1636-MetallbearbeiterIn,2880,2880,,neutral,,https://www.berufslexikon.at/berufe/1636-MetallbearbeiterIn/
MetalldesignerIn,,,247,247-MetalldesignerIn,2880,2880,,neutral,,https://www.berufslexikon.at/berufe/247-MetalldesignerIn/
MetalldesignerIn Kunsthandwerk,,,1770,1770-MetalldesignerIn-Kunsthandwerk,2660,2900,,neutral,,https://www.berufslexikon.at/berufe/1770-MetalldesignerIn-Kunsthandwerk/
MetallgiesserIn,,,3270,3270-MetallgiesserIn,2880,2880,,neutral,,https://www.berufslexikon.at/berufe/3270-MetallgiesserIn/
